Word,Relative Frequency %,H1%,H2%,H3%,H4%,H5%,H6%,Anchor%,Title%,Url-Host,Url-Query,GT,web-id
menu,0.003316749585406302,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0
search,0.003316749585406302,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0
close,0.001658374792703151,0,0,0,0,0,0,0.002207505518763797,0,0,0,0,0
russia,0.008291873963515755,0,0,0.01020408163265306,0,0,0,0.008830022075055188,0,0,0,0,0
claims,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
control,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
salt,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
mine,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
town,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
soledar,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
says,0.006633499170812604,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
captured,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
monthslong,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
battle,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
ukraine,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
fighting,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
ongoing,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
europe,0.008291873963515755,0,0,0,0,0,0,0.011037527593818985,0,0,0,0,0
japan,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
release,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
radioactive,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
water,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
sea,0.006633499170812604,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
year,0.008291873963515755,0,0,0.01020408163265306,0,0,0,0.011037527593818985,0,0,0,0,0
asia,0.003316749585406302,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0
hunting,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
nazi,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
gold,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
dutch,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
village,0.006633499170812604,0,0,0.006802721088435374,0,0,0,0.008830022075055188,0,0,0,0,0
versailles,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
people,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
dont,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
get,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
see,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
simple,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
error,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
us,0.013266998341625208,0,0,0.006802721088435374,0,0,0,0.01545253863134658,0,0,0,0,0
make,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.006622516556291391,0,0,0,0,0
defence,0.004975124378109453,0,0,0.006802721088435374,0,0,0,0.006622516556291391,0,0,0,0,0
minister,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
de,0.011608623548922056,0,0,0.003401360544217687,0,0,0,0.01545253863134658,0,0,0,0,0
facto,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
nato,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
member,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
oleksii,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
reznikovs,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
comments,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
set,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
provoke,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
frames,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
war,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.002207505518763797,0,0,0,0,0
west,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
republicans,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
want,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
know,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
visited,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
bidens,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
homes,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
demanding,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
visitor,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
logs,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
classified,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
documents,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
found,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
presidents,0.003316749585406302,0,0,0,0,0,0,0,0,0,0,0,0
garage,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
canada,0.004975124378109453,0,0,0,0,0,0,0.006622516556291391,0,0,0,0,0
lisa,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
marie,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
presley,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
daughter,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
elvis,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
dies,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
tributes,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
flood,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
singer,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
rock,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
roll,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
legend,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
presleys,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
child,0.001658374792703151,0,0,0,0,0,0,0,0,0,0,0,0
entertainment,0.006633499170812604,0,0,0,0,0,0,0.008830022075055188,0,0,0,0,0
arts,0.006633499170812604,0,0,0,0,0,0,0.008830022075055188,0,0,0,0,0
klopp,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
among,0.003316749585406302,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
premier,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
league,0.004975124378109453,0,0,0.003401360544217687,0,0,0,0.004415011037527594,0,0,0,0,0
